decade,count,median,under_three_pct
1960,5229,2.6522166666666664,77.60566073819086
1970,4213,3.556,21.33871350581533
1980,3513,4.1327,4.6683746085966416
1990,2810,4.300549999999999,3.309608540925267
2000,3137,3.9042166666666662,4.68600573796621
2010,4194,3.5912333333333333,14.18693371483071
