decade,size,sum,mean,percent
1960,6850,5222,0.7623357664233577,76.23357664233576
1970,5299,4210,0.7944895263257218,79.44895263257217
1980,4113,3504,0.8519328956965718,85.19328956965718
1990,3423,2805,0.8194566170026293,81.94566170026293
2000,3418,3123,0.9136922176711527,91.36922176711528
2010,4446,4175,0.9390463337831759,93.9046333783176
