genre_bucket,size,sum,mean
christian,67,56,0.835820895522388
country,2211,2089,0.9448213478064225
dance,702,628,0.8945868945868946
latin,144,130,0.9027777777777778
other,693,530,0.7647907647907648
pop,3670,3415,0.9305177111716622
r&b,4502,3980,0.8840515326521546
rap,2732,2490,0.9114202049780381
rock,7293,6671,0.91471273824215
traditional,1998,1588,0.7947947947947948
unlabeled,3537,1462,0.4133446423522759
