,observed_change,genre_scenario_change,smallest_possible_change,largest_possible_change
valence,-0.1848195254164211,-0.1830438830066256,-0.294263027749047,0.004354872044419422
danceability,0.107051873258462,0.10864257794914445,-0.043374199723527296,0.255243700069939
energy,0.1515594558363167,0.15376479797536646,-0.0042273171825408795,0.2943905826109256
acousticness,-0.34325408889238523,-0.3470200219322571,-0.46679291864393224,-0.16817501885046576
