decade,size,sum,mean,percent
1960,5222,331,0.06338567598621218,6.338567598621219
1970,4210,364,0.08646080760095012,8.646080760095012
1980,3504,504,0.14383561643835616,14.383561643835616
1990,2805,659,0.23493761140819963,23.493761140819963
2000,3123,809,0.2590457893051553,25.90457893051553
2010,4175,1721,0.41221556886227545,41.221556886227546
