comparison,streaming_era,all_songs,with_duration,median_minutes,under_three_pct,coverage_pct
Full 1960–2019,False,22133,18013,3.6233333333333335,29.44540054405152,81.38526182623232
Full 1960–2019,True,5416,5083,3.625766666666667,12.827070627582138,93.85155096011817
Nearby ten-year windows,False,3250,2936,3.972108333333333,4.291553133514987,90.33846153846153
Nearby ten-year windows,True,4118,3869,3.70355,8.038252778495735,93.95337542496357
