decade,genre_bucket,count,median
1990,christian,18,4.079658333333333
1990,country,208,3.6201666666666665
1990,dance,217,4.194883333333333
1990,latin,19,4.438433333333333
1990,other,72,4.066325
1990,pop,294,4.307658333333333
1990,r&b,517,4.592216666666666
1990,rap,372,4.234108333333333
1990,rock,797,4.35155
1990,traditional,37,4.523333333333333
1990,unlabeled,259,4.276666666666666
2000,christian,13,4.13155
2000,country,627,3.797333333333333
2000,dance,18,3.805275
2000,latin,27,3.949333333333333
2000,other,48,3.685883333333333
2000,pop,869,3.7897666666666665
2000,r&b,297,4.184
2000,rap,631,4.1071
2000,rock,515,3.86555
2000,traditional,17,3.664
2000,unlabeled,75,3.84155
2010,christian,8,4.1724499999999995
2010,country,667,3.488
2010,dance,100,3.5896916666666665
2010,latin,54,3.781883333333333
2010,other,87,3.441766666666666
2010,pop,1515,3.6157666666666666
2010,r&b,87,3.778216666666667
2010,rap,1410,3.6197666666666666
2010,rock,173,3.823333333333333
2010,traditional,25,3.075483333333333
2010,unlabeled,68,3.288333333333333
