decade,song_id,song,performer,genre_bucket,points,weeks,peak,weeks_at_one,decades
1960,The TwistChubby Checker,The Twist,Chubby Checker,rock,3462,40,1,3,1960s
1970,Bohemian RhapsodyQueen,Bohemian Rhapsody,Queen,rock,3115,44,2,0,"1970s, 1990s, 2010s"
1980,GloriaLaura Branigan,Gloria,Laura Branigan,rock,2327,36,2,0,1980s
1990,How Do I LiveLeAnn Rimes,How Do I Live,LeAnn Rimes,country,5615,69,2,0,1990s
2000,I'm YoursJason Mraz,I'm Yours,Jason Mraz,pop,5433,76,6,0,2000s
2010,RadioactiveImagine Dragons,Radioactive,Imagine Dragons,rock,5932,87,3,0,2010s
